rollout,feasible,violation,J_D,J_P,J_B,mu_D,mu_P,mu_B,coverage,enhanced_tiles,reward,mean_psnr_db
1253,0,0.473,0.773,3.7948,7.5111,4.4091,0.0,0.9069,0.8561,16.1,18.553,52.176
1254,0,0.4839,0.7839,3.7948,7.5301,4.4103,0.0,0.906,0.8541,16.07,18.959,52.147
1255,0,0.4639,0.7639,3.7948,7.5254,4.4121,0.0,0.9052,0.8549,16.21,18.386,52.192
1256,0,0.4559,0.7559,3.7948,7.5209,4.4135,0.0,0.9043,0.856,16.07,18.239,52.226
1257,0,0.4608,0.7608,3.7948,7.5253,4.4148,0.0,0.9033,0.8572,16.08,18.941,52.231
1258,0,0.4816,0.7816,3.7948,7.521,4.4159,0.0,0.9024,0.8553,16.06,19.468,52.163
1259,0,0.4612,0.7612,3.7948,7.516,4.4172,0.0,0.9015,0.8553,16.12,19.126,52.163
1260,0,0.4505,0.7505,3.7948,7.5116,4.4185,0.0,0.9006,0.8561,16.13,18.908,52.208
1261,0,0.4715,0.7715,3.7948,7.5121,4.4199,0.0,0.8997,0.8561,16.11,18.844,52.208
1262,0,0.4836,0.7836,3.7948,7.512,4.4213,0.0,0.8988,0.8561,16.05,18.674,52.192
1263,0,0.4331,0.7331,3.7948,7.5008,4.4224,0.0,0.8978,0.8565,16.1,19.117,52.197
1264,0,0.4013,0.7013,3.7948,7.4834,4.4235,0.0,0.8969,0.8568,16.06,19.846,52.251
1265,0,0.3836,0.6836,3.7948,7.4849,4.4252,0.0,0.896,0.8567,16.19,19.176,52.246
1266,0,0.4021,0.7021,3.7948,7.4817,4.427,0.0,0.8951,0.8576,16.12,18.343,52.259
1267,0,0.4454,0.7454,3.7948,7.501,4.4284,0.0,0.8942,0.8578,16.06,18.347,52.272
1268,0,0.4258,0.7258,3.7948,7.4994,4.4299,0.0,0.8933,0.8586,16.12,18.651,52.277
1269,0,0.4289,0.7289,3.7948,7.5017,4.4311,0.0,0.8923,0.86,16.04,18.936,52.301
1270,0,0.446,0.746,3.7948,7.5059,4.4324,0.0,0.8913,0.8576,16.04,19.122,52.224
1271,0,0.4577,0.7577,3.7948,7.5057,4.4338,0.0,0.8904,0.859,16.05,18.759,52.27
1272,0,0.4032,0.7032,3.7948,7.4884,4.435,0.0,0.8893,0.8592,15.99,18.82,52.283
1273,0,0.4196,0.7196,3.7948,7.5049,4.4359,0.0,0.8882,0.8567,15.92,19.163,52.217
1274,0,0.4759,0.7759,3.7948,7.5136,4.4373,0.0,0.8872,0.8577,16.05,19.127,52.226
1275,0,0.4289,0.7289,3.7948,7.5018,4.4385,0.0,0.8863,0.8544,16.09,19.049,52.19
1276,0,0.3976,0.6976,3.7948,7.4886,4.4401,0.0,0.8854,0.8527,16.12,18.939,52.136
1277,0,0.3994,0.6994,3.7948,7.4973,4.4415,0.0,0.8845,0.8543,16.1,18.653,52.208
1278,0,0.3939,0.6939,3.7948,7.48,4.4426,0.0,0.8835,0.8553,16.06,19.276,52.166
1279,0,0.4165,0.7165,3.7948,7.4894,4.4437,0.0,0.8825,0.8553,15.97,19.843,52.166
1280,0,0.4075,0.7075,3.7948,7.4932,4.4447,0.0,0.8814,0.8517,15.96,19.835,52.152
1281,0,0.4261,0.7261,3.7948,7.4955,4.4462,0.0,0.8805,0.851,16.09,19.656,52.14
1282,0,0.4429,0.7429,3.7948,7.4994,4.4476,0.0,0.8795,0.8524,16.02,18.943,52.144
1283,0,0.4557,0.7557,3.7948,7.503,4.4488,0.0,0.8785,0.8523,16.02,19.011,52.168
1284,0,0.382,0.682,3.7948,7.4845,4.4501,0.0,0.8774,0.852,16.0,19.422,52.17
1285,0,0.4305,0.7305,3.7948,7.5033,4.4514,0.0,0.8765,0.8519,16.12,19.391,52.166
1286,0,0.4082,0.7082,3.7948,7.4746,4.4527,0.0,0.8756,0.8522,16.06,19.436,52.173
1287,0,0.4178,0.7178,3.7948,7.4795,4.4538,0.0,0.8745,0.8535,16.01,19.419,52.184
1288,0,0.3811,0.6811,3.7948,7.4631,4.4551,0.0,0.8735,0.8534,15.96,19.229,52.183
1289,0,0.4024,0.7024,3.7948,7.4763,4.4561,0.0,0.8725,0.8548,16.01,19.643,52.2
1290,0,0.4721,0.7721,3.7948,7.4989,4.4574,0.0,0.8715,0.8551,16.08,20.109,52.198
1291,0,0.4359,0.7359,3.7948,7.4873,4.4584,0.0,0.8705,0.8547,16.0,19.985,52.197
1292,0,0.4788,0.7788,3.7948,7.4936,4.4597,0.0,0.8695,0.8534,16.02,19.5,52.141
1293,0,0.4627,0.7627,3.7948,7.4981,4.4612,0.0,0.8686,0.854,16.1,19.026,52.149
1294,0,0.4399,0.7399,3.7948,7.4984,4.4627,0.0,0.8677,0.8532,16.14,18.705,52.175
1295,0,0.4645,0.7645,3.7948,7.4985,4.4641,0.0,0.8668,0.8537,16.06,18.787,52.179
1296,0,0.4614,0.7614,3.7948,7.4969,4.4655,0.0,0.8658,0.8532,16.09,18.865,52.141
1297,0,0.4896,0.7896,3.7948,7.5027,4.4669,0.0,0.8648,0.8537,16.03,19.033,52.156
1298,0,0.4501,0.7501,3.7948,7.4886,4.4683,0.0,0.8638,0.8541,16.03,19.003,52.16
1299,0,0.4509,0.7509,3.7948,7.4847,4.4697,0.0,0.8629,0.8526,16.06,19.123,52.152
1300,0,0.3555,0.6555,3.7948,7.465,4.471,0.0,0.8619,0.8529,16.06,19.383,52.15
1301,0,0.3608,0.6608,3.7948,7.4701,4.4724,0.0,0.8609,0.8529,16.0,19.026,52.15
1302,0,0.3559,0.6559,3.7948,7.465,4.4739,0.0,0.86,0.8516,16.09,18.695,52.139
1303,0,0.4112,0.7112,3.7948,7.4687,4.4755,0.0,0.8591,0.8526,16.14,18.806,52.145
1304,0,0.4384,0.7384,3.7948,7.4811,4.477,0.0,0.8582,0.8539,16.07,18.952,52.158
1305,0,0.4004,0.7004,3.7948,7.4806,4.4783,0.0,0.8572,0.8537,16.07,19.206,52.162
1306,0,0.4112,0.7112,3.7948,7.4816,4.48,0.0,0.8564,0.8564,16.16,18.972,52.209
1307,0,0.4289,0.7289,3.7948,7.4845,4.4814,0.0,0.8553,0.8549,16.02,19.073,52.183
1308,0,0.4506,0.7506,3.7948,7.4945,4.4828,0.0,0.8544,0.8547,16.09,19.303,52.19
1309,0,0.4278,0.7278,3.7948,7.4852,4.4839,0.0,0.8534,0.8545,15.97,19.879,52.18
1310,0,0.4697,0.7697,3.7948,7.4925,4.4853,0.0,0.8524,0.8546,16.08,19.663,52.181
1311,0,0.4407,0.7407,3.7948,7.4831,4.4865,0.0,0.8514,0.8535,15.99,19.669,52.17
1312,0,0.4486,0.7486,3.7948,7.4788,4.4879,0.0,0.8504,0.8538,16.06,19.485,52.136
1313,0,0.4495,0.7495,3.7948,7.4766,4.4894,0.0,0.8495,0.8514,16.04,18.997,52.085
1314,0,0.459,0.759,3.7948,7.4928,4.4907,0.0,0.8485,0.8537,16.03,19.009,52.135
1315,0,0.4564,0.7564,3.7948,7.4807,4.4918,0.0,0.8474,0.8529,15.99,19.59,52.117
1316,0,0.4492,0.7492,3.7948,7.4751,4.4929,0.0,0.8464,0.8528,15.99,19.935,52.131
1317,0,0.4499,0.7499,3.7948,7.4795,4.494,0.0,0.8454,0.8528,16.01,20.339,52.127
1318,0,0.4445,0.7445,3.7948,7.48,4.4955,0.0,0.8445,0.8524,16.1,19.829,52.125
1319,0,0.4497,0.7497,3.7948,7.4789,4.4966,0.0,0.8435,0.8511,16.02,19.404,52.15
1320,0,0.4426,0.7426,3.7948,7.4799,4.4981,0.0,0.8425,0.8512,16.07,19.428,52.088
1321,0,0.4392,0.7392,3.7948,7.4855,4.4994,0.0,0.8415,0.8519,16.03,19.273,52.119
1322,0,0.4673,0.7673,3.7948,7.4757,4.5008,0.0,0.8406,0.8518,16.06,19.178,52.133
